"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";-4,99;-93,61;-30,95;0;0,22;0,58;2260,14;154,53;546,08;266,9;0,78;14,7;18,78;1,51;94,67;5,13;0,63;NA;7,93;40,3;1251,67;-3,4;-148,03;-19,67;0,01;0,22;0,6;2109,44;136,15;487,61;258,14;0,74;32,4;43,49;3,16;97,7;7,07;0,55;874,09;8,17;37,91;1214,01;-3,29;-147,66;-17,79;0;0,25;0,51;1969,64;194,32;557,24;205,48;0,75;33,54;44,92;2,92;97,77;4,67;0,46;3771,22;11,61;33,59;288,62
"2";-17,57;-41,53;-23,59;0,29;0,47;0,81;488,55;28,6;157,06;54,87;0,58;1,36;2,36;4,39;57,68;-18,2;0,92;NA;17,78;29,49;144,14;-19,34;-37,91;-27,79;-0,44;0,13;0,44;524,63;62,81;110,48;34,52;0,49;0,96;1,96;0,99;49;-26,99;0,87;4290,88;17,32;29,22;206,89;-15,86;-48,23;-24,31;NA;0,1;0,36;558,01;19,86;243,05;68,21;0,67;2,04;3,04;8,43;67,12;-18,63;0,62;8159,88;14,61;37,24;136,27
"3";0,01;0,02;0,09;0;0,09;0,67;2352,85;43,94;249,48;281,83;0,43;0,75;1,75;4,47;42,77;32,75;0,92;NA;29,09;28,82;19,88;0,01;0,03;0,1;0;0;0,82;2513,35;2,61;355,06;485,12;0,52;1,07;2,07;3,37;51,62;23,19;0,95;42568,36;35,82;23,08;19,39;-4,49;-11,69;-42,35;0;0;0,44;3429,37;1,93;652,61;453,1;0,62;1,6;2,6;-2,5;61,56;12,48;0,8;-17289,92;41,62;18,76;-43,9
"4";-18,97;16,05;NA;0;0,19;0,19;NA;NA;NA;NA;2,18;-1,85;-0,85;-18,97;218,14;-4,66;-0,85;NA;51,24;NA;0;-186,9;35,58;NA;0;0,19;0,19;NA;NA;NA;NA;6,25;-1,19;-0,19;-186,9;625,32;-0,07;-16,41;NA;146,76;NA;0;-12,26;2,07;NA;0;0,17;0,17;NA;NA;NA;NA;6,93;-1,17;-0,17;-12,26;693,24;-1,46;-18,51;NA;162,31;NA;NA
"5";0,79;2,24;1,35;0;1,13;1,33;624,96;218,11;158,34;39,3;0,62;1,75;2,84;6,1;64,76;18,11;1,12;12660,93;16,49;9,12;55,36;-0,93;-3,56;-1,53;0;0,78;1,06;600,88;184,07;211,12;69,21;0,59;2,27;3,83;2,85;73,9;12,85;0,78;11245,27;13,44;6,22;45,58;-234,95;203,59;-293,8;0;0,06;0,06;455,18;53,69;854,72;0;2,15;-1,87;-0,87;-224,78;215,4;-100,7;-1,02;-24112,83;0;12,72;-27,07
"6";-3,13;-4,7;-18,25;0,28;0,52;0,83;2121,33;107,41;90,57;136,53;0,33;0,5;1,5;8,96;33,35;10,29;0,93;NA;26,42;70,48;-1507,69;-3,75;-5,17;-19,25;0,02;0,36;0,99;1872,99;73,2;144,17;141,59;0,27;0,38;1,38;7,86;27,41;3,71;0,97;1067,6;16,23;59,6;790,66;-29,67;-73,19;-494,87;0;0,19;0,19;6071,27;400,79;1769,57;8,59;0,59;1,47;2,47;-22,05;59,46;-29,66;0,64;-216186;24,21;127,14;-89,24
