"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";0,76;1,87;25,61;1,05;4,97;6,06;12279,23;6386,76;1631,78;1804,1;0,57;1,39;2,45;4,43;59,23;11,22;4,44;-14796,71;15,07;123,52;-40,36;-3,81;-8,61;-56,16;0,99;2,22;2,81;5367,58;1089,93;889,74;538,03;0,51;1,16;2,26;0,43;55,76;5,72;1,49;-3592,86;8,88;62,43;-162,62;-3,74;-9,62;-34,66;0,04;1,93;2,43;3373,43;1497,88;796,45;404,04;56,49;145,28;2,57;2,27;56,49;0,73;1,69;NA;8,56;40,97;-136,16
"2";-5,91;-14,59;-24,22;0;0,1;0,48;1494,94;36,56;327,88;153,94;0,44;1,09;2,47;4,76;59,48;2,93;0,65;4895,64;11,91;43,74;217,75;-7,36;-21,54;-26,91;0,01;0,14;0,48;1330,21;63,34;433,85;164,73;0,52;1,53;2,92;3,41;65,81;5,96;0,59;7005,6;9,28;39,35;151,45;-12,45;-44;-44,75;0,01;0,21;0,64;1308,77;83,38;298,81;175,08;57,8;204,33;3,53;-1,3;57,8;-4,59;0,46;10691,25;11,13;27,55;237,84
"3";-1,18;-1,71;NA;22,18;209,13;209,13;NA;NA;NA;NA;0,31;0,44;1,45;-1,18;30,83;-3,85;1,6;NA;0;NA;0;-537,8;119,79;NA;18,07;18,07;18,07;NA;NA;NA;NA;5,47;-1,22;-0,22;-537,8;548,95;-98,34;2,51;NA;0;NA;0;-10,7;1,51;NA;11,79;11,79;11,79;NA;NA;NA;NA;8,07;-1,14;-0,14;-10,7;807,16;-1,33;1,03;NA;0;NA;0
"4";-37,16;107,1;-39,37;0,01;0,19;0,3;386,69;82,26;469,99;54,44;1,31;-3,76;-2,88;-24,72;134,7;-17,56;-0,49;-20524,7;5,63;13,18;-111,96;-62,86;-7232,78;-51,7;0,01;0,06;0,12;299,35;12,85;247,35;14,3;0,95;109,01;115,06;-51,92;99,13;-37,9;0,07;-13798,63;7,02;9;-48,84;-22,9;108,94;-22,63;0,02;0,05;0,09;359,8;11,37;358,11;16,39;1,17;-5,54;-4,76;-11,4;116,51;6,7;-0,13;NA;9,64;8,01;61,95
"5";-68,23;378,11;-17,06;0,05;0,85;0,85;91,28;84,83;106,28;NA;1,18;-6,54;-5,54;-68,23;118,04;-57,8;NA;NA;0;0;0;-23,35;76,13;-14,19;0,2;0,77;0,77;221,16;161,42;285,81;NA;1,31;-4,26;-3,26;-23,35;130,67;-17,87;NA;NA;0;0;0;-6,8;12,34;-162,39;0;0;0;8694,93;9,11;2363,21;4,53;1,55;-2,82;-1,82;-6,8;155,09;-0,24;0,37;NA;35,83;0;0
"6";6,13;26,98;17,44;0,02;1,18;1,35;1039,13;286,58;254,44;44,65;0,63;2,76;4,4;14,68;77,3;19,49;0,57;11321,78;0;24,36;71,2;3,08;14,59;9,44;0,03;0,67;0,77;1116,23;200,61;261,64;31,52;0,65;3,07;4,74;12,02;78,89;11,94;0,62;15673,03;14,01;27,4;62,35;0,32;1,4;0,88;0,1;0,5;0,61;995,66;153,83;379,6;44,71;0,61;2,67;4,36;10,39;61,22;9,28;0,48;5730,07;13,68;17,34;46,4
"7";-11,97;36,28;-27,47;0,11;0,39;0,71;837,29;305,12;783,27;335,63;1,33;-4,03;-3,03;-3,26;133;-6,39;-3,13;-18879,75;33,64;20;-47,13;-8,11;14,11;-8,88;0,01;0,37;0,56;398,46;223,44;499,34;123,13;1,57;-2,74;-1,74;4,23;157,49;-3,3;-4,98;-13519,29;30,08;13,5;-71,15;-123,49;39,83;-51,18;0,02;0,08;0,17;150,86;14,7;606,35;56,67;4,1;-1,32;-0,32;-83,41;410,07;-27,87;-10,12;NA;-5,99;12,14;-84,6
"8";-14,72;-32,17;-47,61;0,09;1,03;1,75;1180,22;419,21;416,18;324,44;0,51;1,11;2,18;5,91;54,23;-1,16;1,48;-5541,78;2,53;66,72;-128,24;-0,79;-2,62;-3,65;0,43;1,07;1,4;1686,27;436,39;471,16;228,19;0,68;2,26;3,33;7,54;70,01;12,72;1,23;-9379,42;34,7;38,55;-87,11;-25,75;-220,94;-78,44;0,01;0,26;0,59;1108,74;188,91;603,83;318,35;85,54;733,91;8,58;-16,96;85,54;-13,78;0,25;7052,5;32,38;18,19;-44,22
