"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";-25,04;152,35;-59,16;0,29;0,46;0,82;860,18;131,75;773,81;279,35;116,43;-708,53;-6,09;-24,41;116,43;-12,32;0,35;NA;0;1,47;-1,25;-20,76;27,11;-27,79;0,18;0,28;0,58;487,21;82,64;648,14;245,03;176,58;-230,58;-1,31;-19,58;176,58;6,88;-24,09;NA;32,3;1,59;-2,28;0,18;-0,33;0,22;0,07;0,44;0,68;439,26;245,13;664,21;162,2;156,04;-278,44;-1,78;1,15;156,04;4,75;10,64;NA;2,37;1,16;-20,16
"2";-7,75;-30,49;-23,03;0;0,22;0,86;1081,82;140,91;641,36;416,86;0,71;2,8;3,94;5,11;74,59;0,67;0,69;1193,06;1,82;38,22;1212,17;-28,79;200,38;-84,43;0,12;0,69;0,83;1067,6;641,15;1118,26;156,55;1,14;-7,96;-6,96;-15,89;114,37;-19,77;-1,08;NA;1,9;27,55;-47,5;0;0;NA;0,12;0,69;0,83;NA;NA;NA;NA;1,14;-7,96;-6,96;0;114,37;0;-1,08;NA;1,9;NA;NA
"3";0,32;2,12;1,56;0,01;0,26;0,69;1769,38;100,85;295,24;205,62;0,67;4,46;6,62;7,83;84,89;11,99;0,68;1756,98;43,64;36,5;711,57;-4,17;-36,77;-18,9;0;0,17;0,65;1648,7;56,04;293;232,53;0,72;6,37;8,81;4,18;72,24;5,5;0,66;NA;45,22;26,44;31097,09;-9,88;-345,82;-47,62;0,01;0,15;0,44;1753,6;41,1;521,44;196,32;0,8;28,12;34,99;-0,92;80,38;-0,55;0,52;NA;41,47;30,41;-108,9
"4";15,77;64,88;12,94;0;0,24;0,65;298,68;41,49;105,12;72,81;0,66;2,73;4,11;20,97;75,69;36;0,55;2719,8;24,68;4,26;451,67;-2,07;-7,38;-2,2;0,01;0,06;0,63;387,24;8,3;107,2;95,87;0,64;2,28;3,56;2,45;64,17;16,35;0,62;NA;16,25;3,58;43,91;-0,35;-1131,82;-0,85;0,02;0,83;1,41;885,8;197,07;223,3;141,69;0,97;3140,72;3251,47;1,37;96,59;10,47;1,06;NA;2,3;3,09;28
"5";6,37;11,79;243,78;0,18;0,62;0,62;13936,63;419,67;955,46;2,16;0,32;0,59;1,85;6,57;46;52,63;0,82;20798;0;7,83;9,27;-1,59;-2,67;-207,95;0,03;0,11;0,11;47715,24;433,5;5755,04;8,3;0,41;0,68;1,68;-1,25;40,57;20,15;0,89;NA;0;43,97;103,79;-19,76;-43,56;-923,05;0,01;0,11;0,11;17005,03;394,04;3906,6;3,23;0,55;1,2;2,2;-19,36;54,64;-16,59;0,79;NA;0;18,39;53,49
"6";0,51;3,32;7,12;0;2,17;2,18;5057,67;4803,92;693,02;20,26;0,92;5,95;6,49;0,51;91,78;3,28;4,51;NA;30,41;0;0;-11,36;6,85;NA;0;0,61;0,61;2949,47;2618,31;1754,3;35,76;2,88;-1,73;-0,6;-11,36;287,65;-3,44;-18,5;NA;88,02;0;0;1,57;-1,17;NA;0,01;3,03;3,15;1300,56;1007,99;334,6;42,64;2,34;-1,74;-0,74;1,65;234,31;1,54;-20,21;NA;0;0;0
"7";-1,89;-6,27;-6,11;0;0,47;0,75;1178,38;212,56;341,78;136,16;0,68;2,28;3,32;2,82;69,9;6,46;0,59;11411,26;16,33;15,23;73,62;-0,32;-1,34;-0,9;0;0,14;0,34;1006,06;77,89;431,48;109,32;0,74;3,07;4,12;8,61;74,44;5,69;0,4;NA;16,75;17,97;76,6;-1,89;35,44;-6,1;0;0,21;0,52;1175,47;148,15;569,59;216,58;1,04;-19,53;-18,75;4,77;104,11;4,67;0,46;NA;13,03;16;109,71
"8";2,14;22,14;1,6;0,01;0,41;0,53;272,1;64,03;138,95;17,67;0,9;9,29;10,36;9,05;89,65;10,92;0,56;12637,45;6,58;3,81;34,31;-5,01;-95,63;-4,7;0;0,34;0,45;341,39;63,9;169,81;19,99;0,94;18,01;19,09;1,47;94,36;4,03;0,54;NA;5,57;4,48;35,34;-165,47;116,18;-56,63;0;0,21;0,31;124,57;56,83;256,89;27,4;2,42;-1,7;-0,7;-143,25;242,43;-25,56;-4,48;NA;15,69;5,61;50,34
