"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";1,4;3,36;6,51;0,03;0,19;0,99;1693,47;60,05;214,55;304,62;0,49;1,18;2,4;18,72;58,38;16,86;0,87;4277,11;29,01;80,58;288,92;-4,89;-16,27;-23,23;0;0,3;0,88;1729,28;159,34;233,38;310,95;0,49;1,65;3,33;9,92;69,95;3,04;0,64;6501,44;29,68;70,38;199,97;-4,54;-15,09;-15,56;0,01;0,13;0,89;1250,08;37,37;142,26;233,7;0,48;1,59;3,32;11,21;69,89;8,25;0,67;7494,34;28,46;53,95;165,39
"2";-10,2;-1554,84;-34,94;0,05;0,18;0,48;1246,95;94,55;486,57;219,42;0,8;122,71;152,45;0,39;99,34;-1,08;0,2;NA;22,25;36,29;-1949,14;0,37;33,57;0,73;0;0,15;0,52;718,4;60,21;357,63;152,26;0,8;73,01;90,93;13,13;98,9;14,69;0,22;NA;9,47;25,19;113,69;6,72;85,67;10,98;0,12;0,22;0,63;595,84;34,76;319,83;142,6;0,82;10,39;12,74;18,95;92,15;21,25;0,27;14846,06;4,58;19,96;75,25
"3";-28,39;55,31;-44,27;0,02;0,06;0,58;567,58;27,39;604,53;318,2;1,42;-2,76;-1,95;10,17;151,33;-1,33;-0,55;NA;25,49;60,12;2279,06;-15,29;22,14;-18,08;0,01;0,05;0,58;430,51;18,77;446,57;241,89;1,45;-2,1;-1,45;21,74;169,06;7,13;-0,86;NA;9,15;43,79;-1106,55;7,81;1981,63;10,24;0,06;0,84;1,27;478,61;41,39;305,63;132,87;0,87;219,9;253,76;28,64;99,61;21,41;1,14;3801,13;2,31;27,31;171,05
"4";-1,58;1,76;NA;0,06;0,29;0,29;NA;NA;NA;NA;1,87;-2,08;-1,11;-1,58;189,76;0,14;-0,48;NA;0;NA;0;-5,86;4,3;NA;0,08;0,08;0,08;NA;NA;NA;NA;2,32;-1,71;-0,73;-5,86;236,26;-1,36;-0,56;NA;0,15;NA;0;-2,37;1,47;NA;0;0;0;NA;NA;NA;NA;2,56;-1,6;-0,62;-2,37;260,49;0,27;-0,74;NA;0,25;NA;NA
"5";-16,81;44,66;-69,45;0,07;1,23;1,71;1504,12;678,72;417,29;282,01;1,38;-3,66;-2,66;-13,81;137,63;-7,47;1,84;NA;11,1;12,38;-71,32;0,77;-1,69;3,41;0;0,31;0,49;1611,08;686,65;2050,5;409,49;1,46;-3,19;-2,19;4,17;145,61;6,73;-1,28;NA;11,29;15,04;-57,43;-40,25;20,68;-45,5;0,13;0,16;0,22;412,57;34,17;1195,72;79,72;2,95;-1,51;-0,51;-34,35;294,65;2,12;-5,65;-243619;0;6,67;-15,11
"6";-33,71;155,72;NA;0,01;0,51;0,46;NA;NA;NA;NA;1,22;-5,62;-4,62;-33,71;121,65;-27,71;0,46;NA;54,71;NA;NA;0;0;NA;0,01;0,51;0,46;NA;NA;NA;NA;1,22;-5,62;-4,62;0;121,65;0;0,46;NA;54,71;NA;NA;0;0;NA;0,01;0,51;0,46;NA;NA;NA;NA;1,22;-5,62;-4,62;0;121,65;0;0,46;NA;54,71;NA;NA
